Naslov;Pisatelj;Spol;Ocena;Film;Strani;Država
All the Light We Cannot See ;Anthony Doerr;M;4,26;NE;544;Ohio
We Were Liars;E. Lockhart;Z;3,88;NE;227;New York
City of Heavenly Fire;Cassandra Clare;Z;4,49;NE;725;
Landline;Rainbow Rowell;Z;3,59;NE;320;Nebraska
The Invention of Wings;Sue Monk Kidd;Z;4,22;NE;384;Georgia
Big Little Lies;Liane Moriarty;Z;4,17;NE;460;
Yes Please;Amy Poehler;Z;3,82;NE;329;Massachusetts
The One;Kiara Cass;Z;4,21;NE;323;South Carolina
To All Boys I've Loved Before;Jenny Han;Z;4,08;DA;288;Virginia
Maybe Someday;Colleeen Hoover;Z;4,41;DA;385;Texas
